Review,Rank
재밌게 본 사람이 승자여야 하는데 이 영화는 안 본 사람이 진정한 승자 ,2
많이 본듯한 캐릭터들많이 본듯한 줄거리많이 본듯한 마무리비싼 재료들로 요리해도 맛없을수 있다 ,6
선생님 이게 최선일 수 없잖아요. 우리 초중반까지 좋았는데 3단 랜딩 뇌절 실화인가요? 문제의 후반부에서 감정적 수용과 상관없이 반사적으로 눈에서 물이 흐르긴했는데 진짜 자존심 너무 상했습니다. 눈물샘이 헤퍼서 흐르...,6
16부작짜리 드라마를 일일드라마용으로 억지로 늘린 느낌 입니다.재난영화라고 보기엔 서사가 너무 많아요. 캐릭터 각자의 입장을 다 얘기하느라 긴장감이 자꾸 끊겨요. 집중될만 하면 서사가 튀어나와 한숨쉬게 합니다. 러닝...,4
소문난 밥상ㅡㅡ. 시국 우려먹기 ,6
아쉬운 점도 있다. 극 중 하와이행 비행기가 겪는 사태처럼 '비상선언' 또한 힘찬 '이륙'에 비해 '착륙'은 위태롭다. 관객들을 순식간에 몰입하도록 만들고 정신없이 휘몰아치...,6
대규모 스타 등장시켜서 이게 무슨 ㅋㅋㅋ ,1
초중반까지는 흥미진진하게 보다가 끝에는 머리속이 영화 마지막 속 송강호가 되어있었다. 이 화려한 배우들로 스토리전개를 이렇게 할 수 밖에 없었을까? ,6
어휴 쓰레기 좌파감성 영화 ㅋ 깨알 반미 반일사상 조장하고 개연성은 밥 말아 먹은 초딩이쓴 것만도 못한 스토리 전개 ㅋㅎㅋㅎ ,1
초반부 긴장감을 끝까지 끌고갔으면 좋았을텐데 후반부 계속 늘어지고 신파 심각하다(어쩔 수 없이 굴복해서 눈물 한 방울 나오긴 했음) ,6
블록버스터를 가장한 신파 ,5
신파도 너무 과하면 보다가 질립니다.... 차라리 짧고 굵게 하지 과한 신파장면을 길게 늘리니까 거부감이 드네요. ,7
몰입감 쩔었는데 스토리가 조금만더 탄탄했다면 더 좋았을것같아요 ,8
초중반이 너무 재밌고 몰입감이 있어서 7점준다뒤는 진짜 심하긴함 ;; ,7
임시완의 연기가 무척이나 인상적이다 ,6
기대했던만큼은 아니었습니다.. ,6
초반 긴장감을 그대로 이어나갔다면…? ,7
