Review,Rank
잠들기에 좋은 음악이었습니다 ,1
기대하고 보지마시길..  감동.코믹.화려함등 모두 기대이하임. ,4
탑건 : 극장이 언젠간 필요없어지겠지만 오늘은 아니다. 토르럽썬 : 꾸어어어억. PC. 꾸어어어억. ,4
마블 정신 차려라 ,2
마블 이라는 배경 없었으면 보기 처참한 영화 될 번함 ,4
믿고 보는 마블이란 말은 이제 옛말 ,2
영화관 가서 보기 돈아까움 딱 시간때우기 좋은 영화정도 ,6
너무 재미없어요... 차라리 닥터스트레인지2 5번보는게 낫겠어요 ,1
"톰 형,,, 한번 더 보고 싶어요 ㅠㅠ ",2
모든 걸 다 잃은 주인공이 오히려 관객을 따뜻하게 위로하는 영화. 코믹하게 그려냈지만 슬픈 영화가 아니었나 싶네요. ,10
고르는 결국 오만한 신들을 모두 없애겠다는대의보다는 자식사랑을 택했다.그렇게 신들은 여전히 이기적이며 앞으로도 이기적일 것이라는 예고만 볼 수 있다.결국 이 영화가 말하고자 했던 건 무엇일까?기억에 남는건 염소들의 ...,5
러브 앤 썬더가 정말 맞음 ,8
진짜 닥스2까진 어케봣는데 도저히 못참겟네 ,1
극과 극 평점은 무시하고 그냥 볼만합니다.상업영화에 스토리까지 있고 감동도 있으면 좋겠지만상업영화로서 갖출껀 다 갖추고 있는 영화입니다.역시마블이다! 마블몰락! 이런건 신경쓰지마시고 CG 영화 보는 재미로 감상하세요...,6
감독 토르 전작에 비해 너무 아쉬웠다 ,5
탑건 용아맥 관 돌려주세요 ,2
라그나로크의 하위호환 버젼재밌긴한데 아쉽다 ,6
마블 디즈니가 인수해서 그런거냐 영상퀄 좋은 삼류 영화에 토르 갖다붙이기 ,2
크리스찬 베일의 악역연기가 쩔었습니다. ,7
액션과 개그를 그런 식으로 버무려놓고 건즈 앤 로지즈 소스만 팍팍 뿌리면 다인 줄 아나. ,5
베일 없었으면 중간에 잤을 듯 ,2
내 기억 속에는 크리스찬 베일 ' 고르 ' 만이 남아있다 ,5
가족영화임. 좀 유치하고 쩌는 액션씬은 없어서 아쉽긴하지만 이정도로 평점낮을 정도는 아닌데? ,7
1. 첫째로 루소형제가 죄가 많다. 왜 이후에 개봉하는 영화들이 똥을 치우는 스토리로 흘러가게 할까? 2. 피씨는 동성애코드 빼고는없다. 그조차도 지나가는 대사 몇줄이다. 동양인 남성에게 서양의 정치적 올바름이란 생...,4
진짜 너무 돈 아깝고 영화 중간에 나가고 싶을 정도 였다.. 돌비시네마에서 봤는데 돈이 너무 아깝다.. ,1
이 영화는 잘못한거 없다. 근데…. 계속 같은 공식 우려먹다보니 관객들이 지친 것. 이게 마블이 퇴장하는 방식일까 ,5
진짜 보면 돈 아까움.. ,2
마음이 아프다 여러모로 ,7
같은 감독의 작품이 맞는지 의심될 정도로 3편에서 개같이 살린 토르 캐릭터의 매력을 다 없애버렸다. ,6
너무 많이 유치해진 토르 ,6
"토르가 주인이 아닌 느낌 개그로 전향을 하여 이 영화가 코미디물인지 액션영화ㅇ니지 정체성을 알 수 없었음. 이제 마블 세계관은 스토리 없으면 영화를 못 만드나 봄,, 예전에는 스토리 10에 액션 90이었는데,,, ",2
라그나로크의 장점은 어디에 ,6
"경쾌한 음악 , 실패한 개그 ",7
크리스찬 베일 (고르) 정말 대단합니다.. ,10
고르 혼자 정극 찍고 토르 일당은 시트콤 찍은 것 같음.. 근데 재미없는 시트콤... 의리로 봤다... ,3
별로였어요 개연성이 없음 ,4
하아.. ,4
"노잼 유머, 빛나는 베일형. ",5
ㅤ ,5
"뭐 어쩌라는건지 모르겠는 전개, 마블이라서 더 충격적인 망작 ",1
크리스쳔 베일 연기력 아니었으면 도중에 나왔다 진짜... ,6
그냥 좀 많이 아쉽다.. ,6
닥터스트레인지 꼴 날 것 같아서 기대 안하고 봐서 그런지 모르겠지만 재밌게 봤습니다. 절대 6점대 평점 받을 영화는 아닌데.. 안타깝네요.. 재밌었는데 ,10
"좋았는데...마블의 수작이라고는못하겠지만 6,7점 자리 영화는 아니라고 생각합니다. ",10
그나마 크리스찬 베일의 연기가 남아서 다행이다. ,6
이제 마블에 더 기대할건 없어보이네 ,4
작가들이 좀 더 노력했어야했다 ,6
억지 개그 때문에 미묘... 다른건 몰라도 제인과의 서사는 잘 마무리됐어요 ,6
스톰브레이커와 염소가 하드캐리했다. 썰매도 개그도. 유쾌하긴 했다만 마구잡이로 개그샷을 던지니 제대로 맞는건 거의 없네ㅠㅜ ,7
그냥 스토리 이상한 밸붕 만화 영화 ,1
이때까지의 마블 영화 중 최악이 아니었나 싶네용ㅎㅎ 스토리 뭐야..발전된건 CG뿐? 애기들 싸움씬에서 내가 만원넘게주고 이런걸 보고있는건가 현타와서 웃음만나옴 ,6
영화가 너무 재미 없어요 ,1
"재미없어요...., ",4
평점이 너무낮아서 아예 기대안하고봤는데 나름 재밌었음 갠적으로 닥스2보다 재밌는듯 ,10
왜이리 점점 유치해지는 건지..이 좋은 소재를.. ,6
전편부터 질낮은 아재개그는 왤케 못 버리냐 ,3
알바들 평점 주작질하는거 너무 역하네요대놓고 별로인 영화입니다. 토르 3를 연출한 와이티티 감독이 만든 작품이라고는 생각하기 어려울 수준이었음 ,4
토르2가 이렇게 나왔으면 마블팬들은 더 좋아했을것이다.하지만 토르3 라그나로크 이후에 나온 토르4가 이모양인건 도저히 참을수 없다. 코미디가 나쁜게 아니라 그 양이 너무 많아서 물린다. 영화가 아니라 SNL 패러디 ...,7
마블 영화는 이제...극장에서...좀 힘들겠네요... ,1
건센로지즈 음악 오랜만에 들어서 좋네요.조조로 봤는데 살짝 졸았습니다. ,6
중간중간 너무 지루합니다. 스토리도 빈약. 마블이 아니라면 누가 이런 영화를 찾아서 볼까요... ,3
라그나로크를 기대하고 갔다가 실망. 개연성도 떨어지고 연출과 유머가 유치했음. 그래도 크리스찬 베일의 연기는 좋았습니당 ,2
음 개빡침 돈 주고 보기 아까움. 염소만 재밌음 ,6
"디즈니랑 합쳐지고 나서 너무 교훈만 주려고 하는 듯,,, 토르가 육아캐는 아니잖아요 ",5
왓더.ㅋ....탑건 2회차 추천 ,2
되도 않는 코미디 할 시간에 스토리랑 연출에나 신경쓰지. ,4
요즘 마블 왜케 재미가없냐;; 그돈으로 탑건 한번 더 볼껄... 돈 버렸다 ,1
베일신 연기만 쩔고 나머지 개유치함.  개그인지 뭔지 관객들 다 갑분싸행.  애들데리고 보실분만 보러가세요 ,1
아 이제 마블 안 봐도 되겠다! ,4
기대 안하고 봤는대도.. 실망했어요 ㅠ 저는 모든 영화에 후기 후한 편인대.이거는 좀.. 유치하고 다른준 후기처럼 토르가 너무 가볍고 드립이 난무하는대 재밋는 드립도 아니라서 무슨 토르 패러디 보는줄 알았어요 ㅠ ㅠ...,4
영화... 직접 만드신..거에요..? ,2
탑건 특별관 돌려줘요ㅜㅜ ,2
[한 줄 요약]염소들과 함께 떠나는 토르의 기상천외한 사랑 찾기 어드벤처 ,4
"유치하지는않지만 재미가 없음, 이전 마블 영화처럼 배경을 찾으보고 싶지가 않음 ",6
점점 식상해져 가는 어벤저스 스토리. ,4
기대보단 아쉬웠습니다 ,6
마블시리즈중엔 망작인듯. 너무 유치 ,6
,4
"중간에 나오고싶었다 이거 만들돈이면범죄도시 100편 만들겠더만, 그렇게 돈을쓰고이런걸 영화라고 .. ",2
진짜 유치하고 재미없어서 졸렸어요. 아무리 토르가 유치한 캐릭터라고 감안하고 봐도 좀... 그냥 제인포스터 보는 재미만 좀 있었나 싶습니다. 아 악역도 연기 좋구요. 암튼 역대 마블 중 제일 별로인듯요. ,4
크리스천 베일의 연기와 빌런의 완성도가 아까웠던 영화. 애들을 자꾸 끼워 넣는 느낌.. 마블식 장난도 지나치니 몰입이 계속 깨짐... ,1
요즘 마블 왜이러죠?ㅠ 닥스2도 재밌게본 난데.. 왤케 유치해졌을까.. ,3
평점 보고 너무 편견 갖지 마시길 ,10
어지간하면 10점 주는데 이건 안되겠습니다. ,4
1점짜리 영화에 베일신 연기 1점 ,2
조조영화 끝나지도 않았는데 1점박는 애들 진짜 소름이네; ,10
마블이 점점 힘이 빠지고 있네요. 작품이 재미가 없는 것도 그렇고 작품 외적으로 아직도 마블을 흥행보증수표로 여기고 마블영화가 개봉할 때마다 가격인상을 강행하는 극장들 때문에 더 화가납니다. 그런 값비싸진 영화가 재...,6
고르 연기 빼곤 볼게 읎었다.. 탑건 4dx나 다시 내놔! ,1
"아... 이건 진짜 토르2가 명작으로 느껴질 정도로 망작이었다.마블빠인데 도무지 참을 수 없을 정도로 노잼이었음.재미가 없으려면 볼꺼리라도 충만했어야 했는데, 볼꺼리도 예고편이 끝임.진짜 대참사였다. ",1
그냥 순수하게 재미없음...빨고싶은사람들이야 이것저것 억지로 찾아서 장점만들만은 한데 그 모든 요소 합쳐서 재미없음 ,4
이딴 영화때문에 탑건 특별관 다 내린게 개탄스럽다 ㅋㅋㅋ ,1
아침에 조조로 봤는데 일찍 일어난걸 후회했음 ,2
토르 라그나로크에서 절정을 찍고 곤두박질쳐버림 내 삼성전자처럼 ,6
라그라로크가 워낙 뛰어나서 비교는 되지만 나쁘지 않았습니다. 베일 형은 연기 갑이네요~! ,8
평점이 나빠서 기대 안하고 봤는데 저랑 아이들은 너무 재밌게 봤네요~ ,10
거 참 젊은 청년 되게 잘생겼네 ,10
생각보다 평가가 훨씬 낮은게 의아한 영화물론 시도때도없이 나오는 개그가 그 수위가 조금 거슬리긴 했지만 전체적인 영화로 봤을때는 충분히 만족할만한 내용이었습니다.이터널스 정도로 죽쑤지만 않으면 솔직히 뭐가 됐든 무난...,9
만두가 너무 귀엽다♡♡ ,6
조잡하고 어지러운 오락. 타이카 감독 스타일을 좋아한다면 조금은 좋아할수도. ,4
정말 재미있게 봤습니다. 진짜에요.다시는 보고 싶지 않습니다.꼭 영화관에서 보세요 ^^ 하하하디즈니 주식 오늘 판다 ,1
아 진짜 무슨 어린이 영화보는줄..스토리도 없고 내용도 유치하고….보다가 나왔어요올해 본것중에 최악임 ,2
다음번에 또 토르가  나온다면 그땐 로키를 부활시켜 줬으면 좋겠음.. 전혀 위화감 없을 듯 ,9
닥스보다 재밋음 걱정했는데 괜찮았음 ,10
마블 엄청 좋아하고 어벤저스 끝나서가오갤이랑 토르만 믿고있었는데?♀?이제 가오갤만 믿는다!!!! ,4
"크리스찬 베일 등장씬에서의 몰입도는 최고, 군도처럼 주인공보다 더 마음쓰이는 빌런임 ",4
,4
목소리 출연에 장동민 있어야 되는거 아님..? ,6
하…… 평점 구린데도 본 내가 잘못이지. 영화 보면서 빨리 끝나길 기도하긴 오랜만이네. ,4
이렇게 시시껄렁한 이야기를 이렇게 러닝타임 오래 가져갈 수 있는 것이 능력이라면 능력. ,1
내가 좋아하던 마블은 어디로.... ,6
탑건 아맥관이 나은거 같아요마블영화요즘 왜이럴까요 ,4
유치함. 토르 영화 다시는 안 볼 거 같음 ,6
,4
마블이 디즈니에 먹힌 나쁜 사례 ,7
호불호가 갈려서 기대없이 봤는데 저는 재미있었어요 ,10
유치찬란한 만화보는 느낌 ,6
기대하면 실망이 큰 편 ,6
CG떡칠에 되도 않는 스토리라인... 다음 와칸다 포에버부터 마블 불매 예정... ,2
베일의 연기력은 역시 실망시키지않았다. 감동포인트를 잘 살려준 베일의 연기력 ,10
유치한 건 둘째치고 엔딩이 황당해서 헛웃음 나옴... 최악 ,1
재밌는 편인긴 한데 너무 유치해요 ,6
저는 너무재밌게봤어요! ,10
마블 영화라고 매번 진지하고 비장할 필요는 없지 ,8
재미 없고 매우 유치합니다. ,5
역대 토르 시리즈 중 가장 재미없었다.마이티토르 개멋있고 토르 행복해라 닥스2가 더 재밌었다. ,5
크리스찬 베일의 연기가 아니었으면 영화관 나왔습니다 특별관에서 절대보지 마세요 ,2
극의 밸런스가 애매하다 마지막은 전작 만큼의 쾌감 없이 흐지부지 고르의 이야기는 좋은데 토르 쪽의 분위기와 달라 매치 안되는 패션을 고집하는 그런 모습을 보는 것 같다 OST가 장점이라지만 영화와 음악이 어울렸다고 ...,6
진짜심하지않나? 레즈에다게이넣고 아무리막장이여도 그리고제인포스터까지 1회성출연시키고 아무리마블이여도 참고보려고했더니만 이건아니지 이터널스때부터알았어야되는건데 다신안볼것같다... ,4
완전 아동영화. 어설픈 코미디랑 스토리 심하다 심해 ,1
"마블팬이 아니라, 재미있게 본 솔로무비들은 없었지만, 그래도 아직 기대는 못 버리고 개봉하면 큰 화면에서 볼 맛은 있겠지 싶어서 늘 가서 보는 편인데… 세상에나… ㅎ ",5
크리스찬 베일의 연기력만은 빛난다 ,6
"나의 마지막 마블 영화, ... ",1
