Review,Rank
"호불호가 갈릴 수 있겠지만, 저는 마음에 들었습니다. 근데 이렇게 떡밥 다 뿌려 놓고 3편 안 만들면 알죠? ",10
"1편 90점, 2편 75점. 미스캐스팅, 개연성부족, 억지개그.  장점 : 액션스케일 커짐. 단, 과도한 Esper액션 - 마블보다 더한 염력 사용. (3편 떡밥을 엔딩크레딧 이후 쿠키 영상으로 던짐. 관객들 그냥 ...",7
마녀1과 비교도 안되는 능력물.... 과연 마녀3은 어떻게 이걸 감당하려고.... ;;; ,9
전작에 비해서 몹시 실망스러움 ,2
ㅤ ,4
마지막 10분 짜리만 보여주면 되는 영화...질질 끄는 동안의 시간이..따분해서 죽을뻔..히어로 물이라고 생각하며 감안해도...1편과 중복되는 소재에 지루함은 물론인데..웃으라고 짠 포인트의 개그코드들은 어쩜 하나같...,2
"쓰레기로 나오는 진구 배우는 선역도 악역도, 이도저도 아니었어요. 나름 인간으로서의 관찰자 느낌의 캐릭터로 보이는데, 재미도 없고 감동도 없습니다.액션씬은 호불호 갈릴것 같아요. 1편은 실내에서 눈이 호강하는 액션이...",8
박훈정은 정말 안타깝다. 그리고 쿠키는 그렇게 굽는 게 아님. ,2
"진짜 별로. 시즌1이 훨씬 신선했고, 재밌었다. 돈 4000원이 아까운 수준. ",3
"어거지 전개에 싼마이CG,,, ",4
중국 자본이 들어갔는지 완전 3류 중국 영화를 만들어놓음 ,1
그냥 저냥 볼만함.. 외국어 오글 주의보!! ,8
욕은 어색하고 구자윤은 똑똑하기라도 했지 2편의 얘는 늑대소년도 아니고 씨지나 액션은 일본애니 실사화했는데 망한 그런 느낌의 영화였음. ,4
음.. 이란 단어가 가장 적절한 평인거 같다 ,5
솔직히....재미있다기보다는 산만하고....각본은 무언가 많은걸 넣은것같지만 엉성하고 1편과 3편을 위해 만들었다는 영화이기는 하나 마녀1만큼의 배우의 연기력 각본이 확 와닿는 느낌도 아니고  이번 범좌도시2 이후로...,5
배우들 연기가 좀; 오글거리네여 ,1
최악입니다 ㅠㅠ ,1
별 내용이 없어. 진짜 급하게 만들엇나..아쉽네 ,4
1편보다는 못하지만 3편을 기대하게 하는 영화였습니다. 주인공이 대시도 별로없고 액션도 없고 가만히 서서 초능력으로 다 하는건 아쉬웠습니다 ,7
크게 기대를 하고 가지는 않았지만 조금 아쉽네요.원래 연기력이 뛰어나신 배우 분들을... 대사나 제스처가 어울리지 않게 연출하셔서 편하게 보지는 못했어요.대사 쓰신 분은 욕설이 난무하는게 재밌으세요? 히어로물이나 범...,6
"마녀는 원래 중2병 감성으로 보는거임, 근데 쓸대없는 등장인물이 너무 많다 ",7
1편의 속편을 만들려다가 1편의 아류만 만들었다. 그것도 훨씬 재미없는. ,4
대사가 너무 오그라들고 필요없는 장면들이 너무 많음 액션씬은 나쁘지않았음 ,6
스토리는 별거 없지만 액션은 호쾌하고 재미있었다. 3편을 가기위한 징검다리 같은 역활. 3편이 기대된다. 재미있게 봤음. ,8
좀 지루하고 스토리 전개가 산만함. ,4
"1편을 아주 좋아했던 팬인데 이번 2편은 망작이네요. 스토리, 액션, 연기 등 모두 최악 ",4
1점 준 애들은 영화보고 1점준거냐ㅋㅋ ,10
나는 참다 참다 잤음같이 본 사람도 같은생각 ,1
김다미 이야기를 냈어야지 왜 갑자기 동생만 주구장창 ,9
액션은 좋은데 뭔가 실사영화가 아닌 애니메이션 보는 느낌이에요. 그리고 엑스맨 시리즈가 많이 생각나네요. ,7
1보다 재미없음 ,4
배우들에비해서 연출이 너무 유치하네요 소재가 좋아서 잘 살리면 훨씬 매력있을텐데 아쉬워요 그래도 배우들이 멋집니다 ,7
액션 장면 보러 간건데... 밤에 촬영해서 그런지 어두워서 안보이더라.그리고 배우들의 스피드를 내눈이 못 따라가... ㅠㅠ ,6
