Review,Rank
스타를 넘어선 한시대의 아이콘에대한 찬사와 그리움을 훌륭한 연기와 연출로 보여준다 ,10
ㅠㅠㅠ 오스틴버틀러 넘 멋있어 ,8
인생 2시간 30분 요약 ,10
엘비스 형님을 스크린으로 만나보자. ,10
이정도 러닝타임을 순식간으로 만듦;; 버틀러가 엘비스 가 되어 버림;;;; ,9
저는 엘비스프레슬리를 몰랐는데 영화를 보고 다 제가 들어본 노래라서 놀랐습니다. ,10
나도 엘비스 노래를 공부해야겠다 ,8
너무 좋았어요.엉덩이는 아팠지만 충분히 흡입력이 있었던... 오스틴 버틀러 매력 터짐. ,8
주인공 배우 너무 멋있고 영상도 음악도 너무 좋았음 ,10
재밌었어요 추천해요 ,9
마지막 엔딩에서 엘비스가 최악의 몸상태에서 영혼을 불태우며 부른 Unchained Melody는 정말 감동적이고 울컥하게 만드네요. ,10
그의 거대한 그릇을 담기에는 턱없이 부족했던 무례함이 넘쳐흘렀던 시대를 비난하며 ,8
보랩 처럼 싱어롱이 가능한 뮤지컬영화는 아니지만 난 이쪽이 더 좋다...비즈루어만의 화려한 영상미와 접신한 듯한 오스틴 버틀러의 연기...처음에는 그닥 안 닮았다고 생각했는데 점점 똑띠가됨 남부억양을 엄청 잘해서 남...,10
보헤미안 랩소디보다 나은 영상과 스토리라인 그리고 OST 다만 앨비스가 퀸보다 윗세대 스타라 흥행은 그에 비해 못 미칠 듯 하네요. 하지만 영화 자체는 강추합니다 ,9
연기의신.. 2시간30분이 결코 길지않음 ,8
"엘비스의 배우연기 아주 좋았으요..역시 전세계역사상 3대 톱스타가수 엘비스프레슬리,비틀즈,마이클잭슨.. 아유론썸투나잇?.. ",10
엘비스에 대해 잘 알게된 영화였음 ,9
정말 잘 만든 영화앨비스의 생애를 화려한 연출과 음악으로 잘 담아냈음다만 2시간 40분의 간 러닝타임은 좀 부담됨 ,10
엘비스를 잘 모르는 분들이라도 영화가 괜찮을까하는 suspicious mind는 접어두고 한번 본다면 can't help falling in love 일듯. ,10
60년대에도 GD가 있었네... ,9
마지막 부분에 엘비스의 모습을 볼때 코끝이 찡 ? ,10
너무 잘 봤습니다 최고최고 ,10
내내 콘서트 보는 기분이었다ㅋㅋㅋ 공연 장면 너무 좋고 연출도 화려해서 짜릿했다 ,10
영화 꾸미기에 진심인 바즈 루어만이 엘비스 프레슬리에게 바치는 헌사 같은 영화. 내가 주는 10점은 내 가슴이 시켜서 주는 거야... ,10
꼭 한번 더 큰스크린으로 보고싶다.  부정적인 이미지의 엘비스를 새롭게 만나서 넘 좋았다. 연출력이 뛰어나다 느꼈고 엘비스의 곡중 대중에게 많이 알려진 곡이 영화에 쓰이지않아 공감력이 떨어지는 느낌.  관람후 엘비스...,10
오스틴인줄 알았는데 엘비스였다. ,8
엘비스의 음악과 삶은 아름다웠고 그 아름다움은 끝끝내 감동으로 남았다 ,10
영화관에서 보면 황홀함. 오스틴 버틀러의 엘비스를 볼 수 있어서 너무 행복했다ㅠㅠ근데 러닝타임 길어서 허리 아플 수 있음. ,9
엘비스 프레슬리가 불쌍했다. 영화보고나면 엘비스 ost 듣기 바빠요! ,10
배우가 연기를 진짜 잘한다.. ,7
첫 공연 장면에서부터 전율 ,8
연기 정말 잘하고 노래도 좋고 여운 남는 영화 ,10
"1차 땐 스토리와 공연장면에 집중해서 봤다면, 2차 땐 연기에 집중해서 볼 수 있어서 좋았다. ",10
연기 잘해서 몰입감이 더 좋았어요 ,9
음악이 좋아요 ,10
예매율이 낮아서 모험하는 느낌으로 보았는데 무척 재밌었다. 러닝타임이 꽤나 긴 편인데도 시계 한번 안 보고 몰입해서 관람함 ,9
엘비스 빙의된 남주의 신들린 연기 엘비스 모르는 사람도 팬으로 만드는 미친 흡입력 ,9
엘비스란 가수에 대해 거의 몰랐었는데 자세히 알게되어 좋았습니다 ,10
바즈루어만의 화려한 감성에  엘비스의 신남을 더하니  가슴이 터질듯하게 두근거려요 ,8
팬들의 사랑을 많이 받았지만정작 외로웠던...노래 들을땐 벅차고 마지막은 찡했던 ,8
주인공의 연기에... 그리고 눈빛에 홀렷어요.... 진짜 엘비스 그대로 데려온느낌이엇습니다 2차 갈예정입니다 ㅜㅜㅜ너무 재밋어요 ,10
최고의 전기 영화 오스틴 버틀러의 연기는 그야말로 진짜  경이롭다 ,10
음악과 사랑으로 빚어낸 엘비스. 바즈 루어만이라는 장르의 한계를 뛰어넘다. ,10
잘봤어요 ,10
,10
엘비스의 삶에 대해 알게 되었다 ,10
엘비스 프레슬리의 일대기를 화려하게 편집한 웰메이드 영화 ,9
최고의 감동. 이런 위대한 영화를 만나다니 안봤으면 죽을때까지 후회할뻔. 아카데미작품상. 남우주연상. 음악상. 미술상 받을거같다 ,10
모든 요소가 완벽한 영화 ,10
다 좋았어요 연출도 좋았지만 연기를 정말 기가막히게 잘해서 더 몰입이 잘된 거 같아요 재미있게 잘 봤습니다!! ,10
엘비스 일대기를 볼 수 있는 좋은 작품입니다 ,8
엘비스 프레슬리의 일대기를 다 담으려니 음악적인 부분이 스페셜하게 나오지 않아 아쉽다.하지만 맨 마지막에 팬들을 위한 하나가 남아있으니 그것만으로도 영화는 제값을 한다. ,7
오랜만에 즐기는 음악영화입니다. ,10
주연배우 연기 왜 이렇게 잘하나요 살짝 지루하다 느낄 수 있어도 본 것이 후회되지않는 전기영화 ,10
진짜 존잼. 화려하고 음악 영화 좋아하는 사람한테 추천! ,10
배우들의 연기가 정말 대단하네요 엘비스 노래는 잘 몰랐는데도 신나고 여운이 남는 공연장면이너무 인상깊었습니다 재밌게 잘봤어요 ,10
성의있는 연출! 러닝타임이 좀 더 짧았으면 좋았겠다. ,7
모든 게 완벽하다 굳이 단점을 꼽자면 러닝타임 ,10
그가 경박스레 골반을 흔들자 소녀들이 속옷을 벗어 던지더라우리는 그를 우상이라 부르기로 하자 ,10
그당시 참 그립습니다 ,10
22년 음악의 리듬앤 블루스의 시작. 너무나 재밌습니다 2번 봤어요 ,10
정말 잘 만든 명작 한편보고 나온거같아서 기분이 좋네요 돈도 아깝지가 않아요엘비스 프레슬리의 삶에 대해서는 전혀 알지못한채 영화를 봤는데 그의 삶에 대해서 알게되고 알아가서 좋은시간이었습니다 다들 꼭 보세요 ,10
바즈루어만 감독의 최고작. 엘비스 프레슬리의 인생이 녹여진 걸작 ,10
"그의 음악에 대한 진심과 무대를 향한 열정, 팬들을 사랑하는 마음을 진심으로 존경한다. ",7
최고네요~~ 역시 감독이 연출력은 모~~ 상영관 수가 너무 아쉽네요 ㅠㅠ ,8
"엘비스라는 사람의 삶과 음악, 무대를 보기 좋게 번역해서 우리 에게 소개해주는 영화... 아직 상영관 있을 때 영화관에서 즐겨주시면 좋겠습니다... ",9
극장 사운드로 즐겨야만 이 영화를 제대로 느낄 수 있지 않을까ㅠㅠ 거기다 오스틴 버틀러 연기 너모 최고... ,10
음악도 너무 좋고 생각보다 영화가 엄청 좋았습니다. ,9
긴 런닝타임이 짧게 느껴지는 마법같은 영화 ,9
내용 상으로는 엘비스 프레슬리의 삶을 잘 표현 한 것 같습니다. OST 같은 경우는 저는 완전 옛 것의 로큰롤이나 컨츄리 블루스가 나올 줄 알았는데 뜬금없이 트랩음악이 나오는 부분은 좀 아쉬웠습니다. ,9
화려함 속에 가려진 앨비스의 진심을 다시 들여다 보다 ,8
남주가연기를잘해요 ,8
최고의 전기영화 ,8
화려하고 신났다가 씁쓸해지는 영화 ,10
개봉 시기가 너무 아쉬운 영화 ,10
와 음악 아주 좋았어요 ,9
너무 긴 러닝타임만 아니었더라면... ,8
주변인들한테 홍보하고 나니 영화관에서 내려가 있더라... ㅋㅋㅋ ,8
