,comment
946,와포띵크
947,냥이띵크 합시다
948,야옹띵끄
949,와  띵크
950,악질러줘요
951,뭔가 첨가를 한다고는 하지만 일본말을 줃이 넣을 필요 있나요 
952,그리스 로마신화가 아니라 북유럽 신화 아닌가요 
953,구독이  안눌려있었네 
954,아   아이언맨 후계자가 왜 여자흑인이냐 진짜     차라리 흑인남자면 이해라도하지    뭔 여자흑인이야 하   
955,팬거는 냥냥띵크로 하면되겠네
956,냥이띵크가 나을란지 팬서띵크가 나을란지 깜장띵크가 나을란지  
957,킬몽거 부활시켜라 제발   
958,블래띵크나    와칸띵크
959,언제 쉬시나요    진짜 매번 고퀄 유쾌한 편집 너무 잘 보고 있어요     
960,   에 대한 내 끝모르게 치솟았던 기대치를 한껏 떨어뜨리고 흥을 식게 만든 영화 블랙 팬서     원작 코믹스 속 블랙 팬서는 내가 가장 사랑하던 캐릭터였으나     에선 그저 흑인 인권 운동가가 되었을 뿐  멋진 모습은 시빌워에서 다 보여주고 정작 솔로영화를 망침    하물며 연기력으로라도 모든 걸 땜빵하던 채드윅 보스만이 유명을 달리해버렸고      수작영화 엔드게임의 플레이타임  시간 중 유일하게 내 인상을 와장창 구겨놓았던 그 장면           걸벤져스      에 위풍도 당당하게 참여했던 슈리만이 남아서 벌써부터   주의 냄새를 풀풀 풍길 준비를 하고 있으니        가뜩이나 현실 세상에서도 흑인인권운동     과 페미와   주의는 서로 물고빨고 난리도 아닌 것들인데    이젠 진짜 답도 없다  기대도 안됨  만약에 스토리가 음바쿠가 슈리 창으로 찔러 죽이고 블랙팬서 계승하는 거면 인정  아니면 수습 불가능임 
961,이제 구독 좀 눌러주라 
962,형 영상은 구독 안하고 봐야 개꿀잼임
963,블랙팬서는 블랙띵끄로 해줭       발키리가 죽음을 감지 한다는건   원작에서는  제인 포스터가 유방암으로 죽는데    이걸 감지 하고 살릴려는거 같네요
964,표범띵크여야하는데 팬더띵끄가 입에 붙음
965,저는 개인적으로 마이클   조던님께서 블랙팬서가 되었으면 좋겠습니다 
966,표범띵크
967,와칸다띵크    포에버띵크
968,                                                                           발할라는 북유럽 신화쪽 아닌가요
969,형 비구독자 비율 개높은거 보고 짠해서 구독 눌렀어 잘했지
970,블랙띵크 가자 
971,가자   
972,   띵크
973,야옹띵크 애옹띵크 가자 형    
974,블랙띵크
975,형 사실 나 구독 안 하고 영상만 봤어 이제 구독할게   
976,이범 뿌   
977,걍 블랙띵크   
978,후보중에선 음바쿠가 제일 낫지 않나
979,요즘 배우 없이 캐릭터 전체를 구현하기까지 하니까 티찰라를 등장시키는건 가능의 영역이라고 생각한다     그러니 스텐리도 부탁해
980, 박성현 잘못만들어서 논란생기면 그게 명예를 더럽히는거지  정치적인내용을 넣는다거나 등등
981,         근데 그게 더럽히는걸지는 의문   본인이 자기 죽으면 캐릭터도 죽여버리길 원했을지는 모르는건데  
982,제작진이 그의 명예를 더럽히지 않기 위해 그를   로 대체한다거나 하진 않을거라고 합니다
983,형  구독 누르게 해줘어어
984,냥이띵크   떴냐 
985,아이언맨 후계자    장담하는데 이제 마블은  조금씩 내려가기 시작하면서 소수의 사람들 아니면 안볼것이다      그러다 지들도 돈 안되니 쪼매씩 줄어들거다    지금 반이상은 마블팬들 떠나갔다  
986,범배띵크 
987,블팬은 블냥 띵크 
988,야옹띵크
989,천둥띵크 떨려
990,퓨마띵크 출발  
991,맨날 몰래보다 찔려서 구독
992,검은고양이    네로띵크
993,슈리만 아니면 좋겠다
994,     구독 안할수가 없네      
995,깜냥띵크
996,슈리까지 블팬이 되면 정말 여배우들의 역할이 되게 많아지네요
997,사람 부활능력있으면 아이언맨 살려줘 죽은시체에 뭔가부비부비 해야하나    
998,왜 안티백신이 트롤짓인지     
999,표  표범띵크     
1000,야옹띵크    
1001,근데 진심 태클거는거 아니고 이분 영상 잘 보는데   이분 컨텐츠는 마블    영화만 뭐 다루는건가요  다른 영화 유튜버분들은 마블  도 다루고 다른 영화들도 다뤄줘서 도움이 많이 되는데 이분은 동영상 리스트 보니 싹 마블 디씨던데 닉넴 바꾸는게 더 도움될듯
1002,와칸다 하면 비브라늄이니 비브띵크    아니면 이봄베를 생각해 봄베띵크
1003,이랗게 재밋게 영상만드는데 구독안하는사람 신기하고오
1004,아이언하트 솔직히 그닥 기대가       그치만 닥스 블팬 토르 넘 기대된다  
1005,자 이재명 드가자  
1006,와뽀띵크
1007,와포띵크
1008,형    구독 했어    이제 블랙팬서는 깐팅크 어때  와깐다 
1009,백신접종 거부가 트롤짓입니까    
1010, 댓글작성자    둘다는무리지
1011, 용산급행   
1012, 댓글작성자   
1013, 우게이 그러니까 민감한 문제니까 쉽게 이렇디 저렇다 결론 내리기 어렵다는거 아닙니까  
1014, 댓글작성자      그러니까 그래도 목숨 때문에 하기 싫다면 배역을 포기하는게 맞다고   지 목숨 아까운데 배역도 포기하기 싫으면  그 영화에 일당 잡힌 사람들은 어쩌라고 
1015,와칸다   칸다 칸다 간다띵크
1016,와포띵끄   
1017,와칸다는 범베띵크지  그렇게 이범베를 부르짖는데 
1018,왘포띵크
1019,와칸다 포에버      띵크    와포띵크    칸다띵크    에버띵크          블랙띵크      
1020,와포띵크 가즈아 
1021,이범배 다시 살려서 범배띵크도 좋을듯
1022,아무리 생각해봐도 아이언하트는  에 나왔던 그 꼬마가 했어야 했어 진짜 이해안됨      
1023,와뽀띵크로 가시죵    
1024,백신을 거부 했다 한들    트롤짓이라 한다니     그동안 잘 봤습니다    
1025,        저학력자  고학력자 중산층 이상 백인이 대다수다 
1026,틀린말  도 없네    다들 한마디 했다가 코박죽 오지네   
1027,방구석진중권 마냥 한마디는 하고 싶은데     논리는 안되고          아몰랑 마블영화 지연시키면 트롤이야              무띵이형 착한 사람인데              만 할거면  그냥 찌그러져 있어        이채널에서 백신얘기 할줄은 몰랐고    무띵이형 좋은소식 빨리 알려주려고    편집고생하는거 그동안 고맙게 잘 봐왔는데    저런 가치관에 실망해서 이제 안본다는거야         이런거 개의치 않는 사람들은     무지성 커버칠생각 하지말고    수첩에서 방송된     백신부작용 영상 한번씩 만 좀 보고 와라
1028,불편한 것도 참 많네   
1029,형    와칸다 포에버는    띵크라고 부를꺼냐고 했지                                 와칸다 영원해     이니까        띵크  
1030,형     발할라는 북유럽신화야  
1031,난 슈리가  대 블팬해도    섹시할거같은데   
1032,이렇게된거 은가누가 하자 블랙팬서
1033,와뽀띵크
1034,난 구독은 안하지만 챙겨봅니다 데헷
1035,냥냥띵크
1036,설마 환장의 멀티버스 이후로 블랙팬서영화에도 다른차원의 트찰라가 갑툭튀한다든지 그게 새로운 블랙팬서라든지 그런건 아니겠지     
1037,                                                                           초에  처음기준   번째에 있는 사진 드라마 플래시에서 나온 그랜트 거스틴 사진 같은데 아닐수있음         그케 생각한 이유는 진짜 완전     비슷한 사진이 있음
1038,                                                                           대댓글 달아주시면 구독하겠읍니다    
1039,발퀴리목소리 따라할때 현타 안왔어용 
1040,아이언하트 캐스팅은 진짜 이해할 수 없네
1041,와우    음바쿠 블랙팬서되면 진짜 멋지겠다  블랙 곰서   와칸다 포에버 띵크는      블랙띵크      어떻습니      
1042,모야매로 마블
1043,검은 고양이 네로띵크
1044,  
1045,와칸다 포에버는 칸부띵크
1046,와칸다 포에버    와포띵크
1047,아이언하트  아놔    
1048,검은고양이 네로띵크
1049,블랙팬서 표범띵크    
1050,형 와칸다 포에버는 와따팅크 어때     와 와 칸다 따 와칸 다 
1051,구독 눌러  
1052,블랙팬서는 블팬띵크로 가자 형   
1053,블랙빵떠니까 블빵띵크  
1054,음바쿠 전형적인 그냥 조연 스타일인데        
1055,너가치
1056,어   음바쿠  오 괜찮은데   하 보고싶다 우리의 트찰라  
1057,요즘 보면 디즈니 흑인들 미러주네요    새로운 아이언맨   블랙팬서 슈리 토르 발키리 가무라  인어공주등등 보면요  
1058,     에서   이 되었네  
1059,                                                                              발할라는       그리스 신화      가 아니라       북유럽 신화        입니다 
1060,트롤
1061,발키리가 부활이 가능한 이유는 메르시의 발      읍읍
1062,가모라도 리부트하자
1063,슈리가 될지도  명분도 있고 디즈니 마블 피씨에 쩔어 있기도 하고    흑인 이랑 여자로 아주 도배를 할거같은데        남자는 게이로 나오고    
1064,흑범띵크
1065,보스만형님     너무 그립습니다 
1066,갱생한 킬몽거 이거나 다른 버스에서 건너온 킬몽거 가 어울림
1067,설마 토르가 죽는 것을 발키리가 감지하는것은 아니길  
1068,  
1069,무워킹 포에버          무한워킹 포에버
1070,검은 고양이   네로띵크   떴냐    
1071,블랙팬서는 블팬띵크 로 가즈아    
1072,자 블랙팬서  배우는 누구다    처리 가능이나 갓몽거배우가  진짜 개고생해야한다는건 팩트다  킹몽거배우  잘해봐요 아물론 킹몽거좌 고인됬지 빠염  그래서 블랙팬서는 킹몽거배우로결정가겠네요
1073,블팬은 깜둥띵크로 해줘요
1074,백신접종 거부가 왜 트롤인가여       권리 아닌가여  영상 재밌게 항상 뵤는데 좀  뭐랄까 그렇네여
1075, 용산급행 이건 뭔   
1076, 우게이 그건 맞죠
1077,영화가 아니라 공동체에도 트롤이죠
1078,몇십명 돈줄 걸린 큰 판에서 지혼자 딱히 백신 안맞아서 촬영 지연되는 것에 대한 책임도 안 질건데 자유랑 배역 둘 다 이악물고 가져가겠다는게 트롤링이 아니고 옳게된 자유면 뭐   모든 사람이 자유 챙기려다 세계 말아먹기 딱 좋은 자유긴 하네
1079,                                                                           완뽀띵크 
1080,영원띵크 허브띵크 냐옹띵크 팬서띵크 블팬띵크
1081,발할라는 그리스신화 아니고 북유럽 신화임다 행님     
1082,팬서띵크    냥이띵크
1083,냥이띵크추천이요  
1084,                                                                             이거보고 구독 두번누름
1085,발키리 초능력은 너무 간거 같은데     애초에 발키리라는게 개인이 아닌 특수부대 명칭이고 
1086,표범팅크 합시돠
1087,블랙팬서의 재앙  슈리 일단 너무작품속에서 겉도는 연기부터   저 코로나백신관련 확실한입장이    
1088,그냥 킬몽거 살린걸로해서  대로 가자
1089,킬몽거형 보고싶어 
1090,채드윅 보스만  블랙팬서 잘 어울리고 캐릭터 진짜 멋 있었는데   고인의 명복을   
1091,하      그립다   
1092,죽기전에 메세지로 다른 배우분들께 하나하나 덕담해준것도 감동임
1093,저두
1094,나두
1095,빕니다
1096,냥이띵크 이걸로 가쟈 
1097,                                                                           냥냥띵크    
1098,표범띵크 
1099,블 팬은 냥옹띵크또는 검은고양이니깐 네로띵크
1100,제발 얘드라  구독 좀 하자   왜 안하는겨      
1101,흑표띵크  
1102,토르는 사랑과 천뚱 아님 
1103,                                                                           해당 정보는 만화에서의 능력을 언급한 것이라고 추후 배우가 인스타 스토리에서 밝혔습니다    즉 영화에선 구현 안 될 수도 있다   
1104,와칸다띵크
1105,와포띵크  표범띵크  흑범띵크  비범띵크 
1106,   구독 눌렀슴돠  
1107,형 영상초반에 구독 누르라해서 누르고 마지막에 또 누르라길래 마지막에 한 번 더 눌렀어      나 잘했지   
1108,냥이띵크
1109,스폰 리부트 나 빨리나오길
1110,깜장띵크 어떰
1111,와칸다 포에버에포 다칸와칸다 포에버      촬영 쭉 해  그냥    손톱띵크 
1112,                                                                            이 범배띵크
1113,알고리즘이 띄어주니 끝까지 구독 안 해야지
1114,사고치기 좋아하는 애드리라구  너같이 
1115,검냥띵크 기대합니다
1116,흑범띵크 어때 
1117,형 와칸다 포애버 줄여서 와포띵크어때      
1118,그러면 토니도 부활 
1119,아니 백신 안맞는 게 왜 트롤 
1120,타인에게 피해를 주니까 
1121, 우게이 복붙    해대네 잠이나 자라
1122,몇십명 돈줄 걸린 큰 판에서 지혼자 딱히 백신 안맞아서 촬영 지연되는 것에 대한 책임도 안 질건데 자유랑 배역 둘 다 이악물고 가져가겠다는게 트롤링이 아니고 옳게된 자유면 뭐   모든 사람이 자유 챙기려다 세계 말아먹기 딱 좋은 자유긴 하네
1123,블와  팬와  블포       난 모르겠당
1124,블랙띵크 어떻게 생각하시나요
1125,냥이띵크 가즈아
1126,아이언 하트는 아니다 
1127,                                                                           나 저거 보면서 뭔 개소리야   이랬음    한국말인데 한국말이 아닌 한국말                     
1128,어흥 띵크 
1129,마블은 빨리 보고싶고    나이는 먹기 싫고    하앍   그냥 마블을 빨리 볼래
1130,형 소리 안지르니 뭔가 똥 싸는중에 팬티입은 느낌이다  
1131,냥냥띵크    
1132,냥이띵크 냥냥띵크
1133,갠적으로는 기대가 너무 안되는 영화  
1134,   는 향후    년은 문제 없는듯  
1135,                                                                           음     블팬띵크 아니면  와칸다 포에버 줄여서 와포띵크 어때요     팬서띵크라거나
1136,팥이 없는 붕어빵과  같은 블랙팬서  는 안 볼랍니다 
1137,발키리 사람 살릴 수 있으면 아이언맨 살려내    
1138,우와 나는 저기    에 속하군   
1139,개인적으로    에서 제일 미스매치가 발키리     
1140,흑인들 그만보고싶다 무슨 아이언맨이 흑인여성이야 백인캐릭들이 다 살려놓으니까 흑인 여자들이 수저올리네
1141,원전 신화에서 발키리는 전쟁에서 죽은 전사들을 발할라로 인도하거나  전사자를 만들기 위해 전쟁을 일으키기도 하는 존재 입니다  왜냐하면 라그나로크에 대비하기 위한 병력을 충족하기 위함도 있고 북유럽 신화를 믿는 바이킹들은 전쟁에서 죽음을 맞는 것을 명예롭게 여기는 점도 있기 때문에    의 발키리도 죽음과 관련된 능력을 가지는 것이 마냥 뜬금없는 부분은 아니라고 생각합니다 
1142,진짜 끝까지 구독 안해야겠다       항상 챙겨볼게요
1143,     구독 안눌러줘서 온갖 방법 다쓰는거 개웃기네      
1144,무띵 포에버  
1145,사람 살리면 아이언맨 살렸으면 좋겠네  
1146,발키리도 블랙워싱당한거였네     
1147,사실     토르 시리즈는 처음부터 애시르 신족 백인 흑인   바나르 신족 동양인 으로 설정했음 
1148,무띵 이제 블팬 떡밥나오면 블랙띵크  
1149,와뽀띵크
1150,채드윅 보스만님 영원히 기억하겠습니다           와칸다 포에버      
1151,와칸다 포에버는 냥이띵크
1152,와     깐     다 뽀에     버      한글자씩 따와서 깐버 부 띵크는                   좀 억지지 형    
1153,블팬띵크  
1154,사람 살릴 수 잇으면 토니 살려내면되긋내
1155,블냥띵크
1156,역시띵크 형 영상은 구독 안 하고 알고리줌 떴을 때 보는게 맛이지
1157,아니 형 샤우팅 어디갔어 듣고 싶다고 떴다          
1158,블팬띵크 
1159,냐옹띵크
1160,야옹띵크
1161,아 알았어 구독할게 할게   
1162,애들아 구독 좀 해주라
1163,발할라는 그리스 신화가아니고 북유럽신화의 사후세계입니다
1164,만약에 슈리가 블팬이 되면         이젠 마블 안봄
1165,블랙팬서 띵크는 뭐가 좋을려나   블팬띵크  냥냥띵크 
1166,                                                                          초 블팬띵크 어때요    아님 블랙띵크 아니면 팬서띵크   
1167,아니 한국아줌마가 루피타 뇽보다 발음 구린거 실화냐곸         
1168,떴냐                                                                                                                                   대사 아직도 무슨말인지 모르겠음  해석좀 그리고  외국인보다 왜 발음이 더 이상하냐   
1169,                                                                           표범띵크 아니면 와포띵크    
1170,어감 좋은 냥냥띵크 어떠십니까    
1171,야옹띵크 가자
1172,아앙아 아 아이언하트        아니야제바라랄랄   
1173,형 냥이띵크는 어때  
1174,블팬띵꾸
1175,주인공이 없는 상황에서 블랙팬서를 어떻게 연출할까    발키리는 지구에 남고 토르만 떠나는데 영화에서 어떤 사건으로 다시 조우할까    가모라는 그때의 가모라가 아닌데  퀼은 어떻게 방법을 찾을까
1176,스타로드    타노스 댄스배틀  내가 볼땐 타노스가 이길듯
1177,대혼돈의 멀티버스의 오이띵크    사랑과 천둥의 천둥띵크    와칸다 포에버의 냥이띵크
1178,블랙띵크 고고
1179,형   몇가지 옵션 줄게  이거 어떄  와칸띵크  와포띵크  팬서띵크  블팬띵크  채드띵크  자 옵션 줬으니까 형이 고르고 일단 일은 계속하자     언제나 기다린다구 
1180,와포띵크  
1181,검은고양이 네로띵크
1182,띵크 포에버
1183,형 냥이띵끄 집사띵끄 각이다
1184,블팬띵크 어때요 
1185,      범배띵크      
1186,와칸다 포에버는       표범      띵크가 어떨지     
1187,블랙팬서가 흑표범이니까 표범띵크   
1188,블랙팬서   와카노 영원히띵크
1189,                                                                               블랙띵크 어때요 
1190,                                                                           아    나중에 한다고   
1191,아 아 아 좋아    
1192,이범배를 외치기 때문에             범배     띵크
1193,애초에 백신안맞아도 들어갈사람은 다 들어갔음   그냥 백신안맞으면 트롤이라는 이미지 만들어서 백신접종독려하려는 거였음  
1194,형 고마워 퇴근길 무비띵크는    꿀보다 달달해 
1195,                                                                           흑 표범이니까 흑표띵크 아님 블랙띵크 어때 형   
1196,와뽀띵쿠
1197,블랙팬서의 차기작이 나오지 않아도 그냥 와칸다는 지들끼리 잘 지내고 있다정도의 연출로 끝내조 될 것 같은데 계속 유지하려고 하는거 보면 스토리의 큰 연관성과 축을 담당하긴 하는듯
1198,내가 블팬을 몇번을 봤는데  
1199,         뇌피셜은 누구나 할 수 있는거 아닌가요  그럼 어벤져스나 최근에 개봉한 스파이더맨 내용 추측하던 유튜버들은 뭐가 됩니까   추후 내용을 예상하고 기대하는 것도 마블 팬이면 충분히 즐길 수 있는 혜택이라고 생각해요 
1200,너깜으로 수십명의 수석 디렉터가 구상하는 세계관의 모든 연계성에 이래라 저래라 뇌피셜 하는게 더 웃기다
1201, 웃긴놈 뭐 개인적으로   를 넣는 부분까지는 상관 없다고 봅니다  다만 엔드게임 걸벤져스 같은 말도 안되는 파워레인저급 개연성으로 영화를 망친다면 그건 문제가 되겠죠 
1202, 이윤서 근데 새로운 히어로가 다 여성히어로로 되는기분  아이언하트같은 억지도 보이고 세대교체를 하는건 좋지만   요소가 너무많아지는거같아요
1203,블랙핑크 해 그냥 블랙핑크 블랙띵크  
1204,와포띵크  떴냐  
1205,댓글봐도 알겠지만 아주 살짝 구독에 집착해보이는 것처럼 보여 형   영상 앞이든 뒤든 한번만 구독권유하자  앞뒤로 넣으니까    안쿨해보이네
1206,킬몽거 부활시키자 걍
1207,발키리 부활 능력 있으면      우리 로키쨩   부활시켜달라는      
1208,와깐띵크
1209,블팬띵크도 나쁘진 않을지도 
1210,블랙팬서는 냥냥띵크 어떰 
1211,와우
1212,그냥 깔쌈하게 블팬띵크 하시죠
1213,음바쿠가  대 블팬이면   나름 만족     와칸다 내에서도 서열이 높은 캐릭이였으니        아이언하트는      디즈니한테 먹히고 할리키너 버린거지 파이기 형   빌드업은 할리키너만큼 완벽한 애가 없었는데 쓰블    
1214,여태까지 마블의 행보를 보면 드라마는 메인이 아니라 설정 보강이나 세계관 빌드업용으로 쓰였음  로키나 완다비전의 경우가 그러함  즉 낙관적인 전망을 해보자면 아이언하트는  대 아이언맨 할리 키너의 등장 전까지 아이언맨 컨텐츠를 보강할 중간다리 역할을 하고 퇴장할 확률이 높다고 봄  왜냐면 아이언맨  때부터 등장해서 토니와 적지 않은 케미를 주고 받은 할리 키너를 뻔히 냅두고 토니랑 아무 상관 없는 여자를  대로 확정짓기에는 무리가 많이 따르니까  반면 안심할 수 없는 게  아이언하트가  대 아이언맨의 등장을 알리는 작품이 될 가능성도 농후함 팔콘앤윈솔처럼   아무리 디즈니가   에 눈이 돌아갔다 해도  아이언맨 같은 최중요 히어로를 자기들 입맛에 맞춘다는 이유 하나만으로 쉽게 써먹지는 못할거임    주의는 다른 캐릭터  다른 영화로 채울 수 있지만 아이언맨에   를 입힌다는건 즉   를 극혐하는 나머지 대다수 팬들을 다 버리겠다는 소리밖에 안 되니까  저는 할리 키너가 무난하게  대 아이언맨으로 활동하리라 봅니다  아이언하트는 아마 할리 키너에게 기술력을 제공하는 사이드킥으로 물러나던가 할듯 
1215, 황진우  할리키너 아이언맨 에서 사촌동생시계라고 햇는데 그 디자인캐릭터가 흑인임     사촌동생이 리리일수도
1216, 황진우 아이언하트에서는 리리를 통해서 할리키너가 진정한 아이언맨이되는 과정일듯 리리는 죽거나 슈트를넘기거나
1217,     영화에서 피터가       노래인데 레드 제플린이라고 대답한 거에요  나중에 한 번                     노래 한 번 들어보세요      년대 노래인데  억뷰 찍었습니다 우리나라에서 잘 안 알려져서 그렇지 역대        밴드에 레드 제플린과 함께 오르는 밴드에요    
1218,아이언하트로 리리 하고 아이언맨 로 할리키너 할거라고 믿고있다
1219,사실은 킬몽거가 죽지 않았다는 내용으로 가거나 음바쿠가 블랙팬서 계승할것 같음
1220,무띵눈나 더빙 넘웃기고
1221,와뽀띵크
1222,블랙팬서 없는 블랙팬서 영화가 나오는건가   
1223,흑표띵크어때요 
1224,냥이띵크 어떤가요 
1225,                                                                             
1226,왜 자꾸 구독 구걸하는거임     비구독자가 더 많이 찾아준다는건 그만큼 영상을 찾아서 온다는건데       만구독자라도 조회수   만 안나오는곳도 있는데 구독자 좀 연연하지마셈 자꾸
1227,말을 말자   
1228,헬라에게 자매들 때죽음 당하는것도 못느꼈고 자기만 살아났다는 것 땜에 반 폐인이 됬었는데 이제와서 죽음이 오는걸 느낀다  살릴수 있다  좀    억지스럽네요
1229,왕이 되서 새로운 능력 각성했다고 하면 뭐    
1230,와칸다 포에버는 당연히      불판띵크     지    
1231,블랙띵크
1232,최근에 마이클   조던이 킬몽거는 빌런이 아니다 라면서 복귀 떡밥 날렸던데
1233,블랙띵크  표범띵크  퓨마띵크 
1234,이범배를 줄여서 범배띵크가 어떨까요 아니면 표범띵크
1235,아니 어떻게 백신 하나땜에 한작품 찍을때 마다 몇억씩 버는게 보장된 직장을 포기하는게 말이되냐구   
1236,제발 블팬 액션 좀     
1237,심플 이즈 베스트  블팬띵크 어떤가요  
1238,와깐다 뽀에버는 팬서띵크
1239,티찰라 너무 아깝긴하다
1240,형 와퍼띵크로 하자 약간 와칸다랑 포에보 앞자리만 따면 짐부하니까 약간 코믹하게 햄버거처럼 와퍼 어때 
1241,일단      블 띵크     로 쓰고      블팬띵크     라고 읽다가  망각 보이면 그냥      블핑띵크     로 바꾸자 국뽕이라도 채워야지 우린   
1242,와칸다는 범배띵크  이유는 이범배 
1243,블랙팬서 백인하면 안되나요 
1244,블랙띵크  블랙핑크아님 와칸띵크 와포띵크 정도가 생각이       왕이여 보고싶군요      
1245,와깐팅크로 가쥬   
1246,백신거부 존중함
1247,흑표띵크 어떻습니까
1248,와포띵크 
1249,무띵은 과연 언제 많이 잘까 
1250,무심코 지나 가다가 우연히 저를 만나신 모든 분들이 아프지 않고 좋은 일만 가득 하시길 바랍니다  학업 취업 연애 사업 재물 건강 모든 일이 잘 되실겁니다             새해엔 다 같이 행복해요    
1251,흑범띵크  블랙띵크   고양띵크  팬서띵크 
1252,블랙 띵크
1253,팬서띵크
1254,좋아요      으어 불길해    로 만들어야 것어
1255,에버띵크는 어떠십니까
1256,제목이 와칸다 포에버인 만큼 블랙팬서의 공석을 주제로 스토리가 진행되다 마지막에  대 블랙팬서가 정해지고 끝나지 않을까요   
1257,네로띵크어때영   
1258,그럼 아이언맨 시체 있으면 발키리가 아이언맨 몸 속에 들어 가서 되살리면   
1259,야옹띵크
1260,제발 레지 장 페이지가 대신 블랙팬서 역할로 대신하자
1261,음바띵크  
1262,그럼 우리나라는   월 일 개봉인가
1263,야옹띵크
1264,아웃트로에 구독 누르라고 할때마다 매번 누르고 있습니다 
1265,와칸다포에버띵크는 걍 대충 줄여서 와포띵크 합시다  대충 줄여도 착감기는구만
1266,와 나 블랙팬서 저 아지매 말하는거 한번도 못알아들었는데 이걸 무띵이 해석해주네   
1267,마블띵크
1268,소리질러줘 
1269,냥이띵크 가자 형
1270,흑표띵크  
1271,블랙띵크
1272,야옹띵크    
1273,검은고양이    네로띵크 
1274,팬서띵크 가야조
1275,가모라 존예
1276,킹냥띵크    
1277,블랙띵크   
1278,검은 떼껄룩이     떳냐 
1279,형님 진짜 열일하시네요               진심으로 가끔은 쉬었으면 좋겠습니다     
1280,와칸띵크
1281,    야옹띵크 떳냐   
1282,  
1283,어흥띵크   떴냐   
1284,                                                                           블랙띵크 
1285,다양한 마블 소식 넘 좋고
1286,왘띵크오때 
1287,슈리가 블랙팬서로 나오면 보러 안간다
1288,발키리가 킬몽거 살려내면 되겠다
1289,블랙팬서 없는 블래팬서가 되겠네 
1290,아휴   월  일이면 썸남썸녀 커플들 엄청 오겠네
1291,모비띵크   
1292,냥냥띵크  
1293,저는 군대에서 백신  차까지 맞았지만 백신 거부한걸 잘못한 것처럼 지적하는건 좀 아닌거 같네요    변이 바이러스가 백신에 무용한 것도 사실이고 젊은 사람들한테는 코로나보다 백신 부작용이 더 위험한 것도 맞는데   
1294,몇십명 돈줄 걸린 큰 판에서 지혼자 딱히 백신 안맞아서 촬영 지연되는 것에 대한 책임도 안 질건데 자유랑 배역 둘 다 이악물고 가져가겠다는게 트롤링이 아니고 옳게된 자유면 뭐   모든 사람이 자유 챙기려다 세계 말아먹기 딱 좋은 자유긴 하네
1295,그럼 본인 때문에 영화 촬영이 밀려 많은 사람이 피해보는 건 상관이 없다는 건가요 
1296,블랙띵크  
1297,                                                                               노래     검은 고양이 네로    에 네로만 가져와서     네로 띵크  어때 형
1298,아니 감독이 블랙팬서는 오직 체드윅 밖에 없다며 다른 배우 대체 안할거고   쓰는건 예의가 아닌거 같다고 안쓸거라고 말했다길래 그럼 뭐 어쩌려는지    생각했는데 결국은 배우 바뀌네    
1299,그래서 블랙팬서 주인공이 누구야 
1300,오늘의 네로 검고양이 띵크
1301,흑범띵크 어때 형
1302,와깐띵끄가 발음이 좋아보이네요
1303,                                                                           근데 발키리는 애초에 토르 라그나로크에서 오딘을 수호하는 근위대를 지칭하는 말인데 어떻게 발키리가 저런 초능력이 있는거   아스가르드 왕이 되는 저 발키리만의 고유 능력인지 아니면 발키리 전부가 저런 능력을 갖고 있는건지   
1304,           기사를 보면 저 능력은 만화에서의 능력을 언급한 것이지  영화에 대해 얘기한건 아니라고 인스타 스토리에서 밝혔다 하네요
1305,원전신화에서 발키리는 전사한 사람들을 발할라로 데려가 에인헤랴르로 만드는 사신의 역할도 하기 때문에 그 점을 차용한 듯 합니다
1306,분명 원작에서 가모라가 타노스의 뜻이 이어받아 인피니티 스톤들을 모으는 이야기가 있었는데 설마     이번에 가오갤 맴버가 죽는다는데 설마 
1307,블팬띵크 가시죠 
1308,블랙팬서는 표범팅크로 하죠
1309,흐켱띵크
1310,이제 구독 좀 박아주자 진짜 무띵이형 울겠다 울곘어
1311,즐 때
1312,어우 구독 두번이나 눌렀죠
1313,아니 구독을 왜 사람들이 안하니 했는데 그게 나였네            꾹 
1314,싫어  라고했지만구독중
1315,어림도없지
1316,와뽀띵크  
1317,발할라는 북유럽 신화인데용  
1318,이왕 멀티버스 하는거 네이머는 제이슨모모아 나왔으면 좋겠다
1319,발할라는 그리스신화가 아니라 북유럽신화        슈리는 안티백서란 것만으로 욕먹어도 쌈  이참에 배우 바꿔서 촬영하자     자기 신념 지킬려면 불이익도 감수해야지 
1320,표범띵크
1321,팬서 띵크  
1322,블팬띵크 
1323,                                                                           표범띵크
1324,와칸다의 위대한 전사 음바쿠를 알아보자           우리의 음바쿠는 티찰라를 이기기 직전까지 갔다           라이벌 관계인 티찰라가 빈사상태로 강에서 떠내려온걸 보고 정성들여 간호하는 인성을 지녔다           티찰라의 지원요청에 흔쾌히 부족원들을 데리고 최전방에 직접 참여한다           핑거스냅에 사라지지않는 엄청난 운을 타고났다
1325,  음바쿠는 첨단무기대신 개쩌는 지팡이로 적을 후두려팬다 근데 안다친다         허브도 없이 일반인이 이게 가능한가      킹바쿠  
1326,          이러다 다음세대 어벤져스는 다 여자될듯
1327, 초코칩찐빵      나무몽둥이로 싸우는 주제 졸라 쎔    
1328,정성들여 간호했다기에는 거의 방치 아니었나   
1329, 침착맨행동분석가 대신 남겨진 사람들은 절반 사라진 세계에서  년동안 고통스럽게 살았지  행정업무도 얼마동안은 마비되었을테고
