,comment
86,형님 너무 무리하지마십쇼   힘들면 잠시 쉬어가세요    저도 열심히 노래찾고 믹셋짜고 게시물 올리는게 힘들어 잠시 나가떨어져서 쉬고잇으면 마음이 몸이 다시또 움직여질때가있고 또 기다려주신분들 응원받으면 다시 힘나서 움직이게되더라구요   디플에 매월내는 돈보다 그이상의 가치가있는 영상이라고 생각합니다  헌데 매월도아니고 매주 그것도 두세개의 게시물을      언제나 감사한마음뿐입니다   더욱더 양질의 마블컨텐츠를 즐길수 있도록 도와쥬셔서 감사해요   그러니 조금 쉬엄쉬엄     제 발     두서없었지만 요는   늘 감사드리고 힘내시라는      건강이우선입니다     
87,볼때마다 머리를 띵하고 울리는 분석력에 감탄하며 늘 알림이 뜨면 보러오는데 건강상에 문제로 고민할만도 하겠습니다 오래보고싶은데 현실이란건 늘 안타까울뿐이네요
88,              
89,저 세번째 앤트맨 혹시 스콧의 딸 캐시 아닌가요  체형으로 봐서 여성같은데
90,맞을꺼에요
91,맞음
92,마블암흑기 스파이더맨만 살아남음
93,이런 영상 플랫폼에서 콘텐츠에 좋아요나 구독자 증가세가 낮으면 제작자 입장에선 현타를 받을 수 있다고 생각합니다          하지만 많은 사람들은 올원님이 콘텐츠를 위해 많은 분석을 하고있고  정말 열정적으로 작업하신다는 걸 알고 있을겁니다  제 주변 지인들 조차도       이 사람 엄청 디테일한 콘텐츠를 만든다       라는 말을 하곤 합니다          순수하게 코믹스 분야로만 영상을 만드시며 여기까지 채널을 운영하신거 정말 대단하다고 생각됩니다  다들 말하지 않고 콘텐츠에 좋아요나 댓글로 액션을 취하지 않더라도 많은 사람들이 이 채널을 좋아하고 즐긴다는 거 알아주시면 좋겠습니다  부디 오래 콘텐츠를 만드시길 바라며  
94,그냥 한작품 다 끝나면 그때그때 여유있게 정리만 하고 저번처럼 몰아보기식으로  시간이든 뭐든 올리시는게 좀 좋지 않을까요  몸이 건강해야죠       저는 하루 종일 기다릴 수 있음 
95,그냥 올원님영상 오래도록 볼수있음합니다 건강만하세요
96,저는 마블 코믹스 원작을 아는 게 없다고 해도 무방한데    를 너무 좋아하는 팬이기 때문에 많은 유튜버 분들의 영상을 보는데 최근에 올원채널을 제대로 알게 되었고   다른 곳에는 없는 흥미로운 내용들로 분석을 해주셔서 구독도 하고 너무 재미있게 영상을 보고 있습니다  늘 응원하겠습니다 
97,어벤져스  에서 희생을 치르면서 악으로 깡으로 캉 처치했는데  멀티버스 차원 열리면서 그와 똑같은 캉이 등장하면 참    허무 하면서도 저걸 어떻게 이기냐 이런 생각이 들 듯 함    
98,우리 앤트맨 아싸에서 핵인싸됐네   
99,멤버쉽 가입하고 싶다        채널을 키우자  
100,그 어느 채널들과 남다른 퀄리티를 자랑하시는 유튜버임에 틀림이 없지만 언젠간 현실에 가로막혀 번아웃이 오기 마련이죠     하지만 세상은 해뜨기 전이 가장 어둡다는 말처럼     열심히 일하여 지칠 때가 왔지만 지난 영상들이 언젠간 많은 사람들의 알고리즘에 노출되어 꼭 대성할 유튜버가 될 거라고 믿습니다          항상 응원하고 영상 재밌게 보고 있습니다     쉬어가시면서 영상 올려주셔도 언제나 찾아오겠습니다 
101,앤트맨   쿠키에서 와스프가     양자영역에서             를 조심해      라고 했었는데    아무도 언급이 없는게 쥰내 신기함
102,타임 볼텍스가 뭐에요  
103,노력에 비해 성과가 부족하다고 느끼실만도 하네요 참   몸도 마음도 지치는 시기가 오신거같아요   제가 해드릴수있는 말이없네요  그저 재밌게 잘 보고있다는 말밖에는      지칠땐 잠시 쉬어가기도 하고 오래오래 뵐수있으면 좋겠습니다   전 오히려 엔드게임때까지 마블에 별 관심없다가 페이즈 들어서 올원님같이 자세히 설명해주는 채널보고 오히려 더 재미를 느끼고있어요  그중에 올원님이 마블에대해 제일 깊히 알고계시는거 같구요   사랑해요
104,                                                                           갑자기 이렇게 앤트맨이 유명해진건 현재 우리가 보고 있는    는 페이즈  까지의          가 아니라    일 것이라는 이론에 큰 근거가 될 수 있지 않을까 조심히 예측해봅니다
105,  
106,어쩌다 니네를 믿어야되는 상황까지   
107,올원채널 알게된지 얼마 안되었는데      안좋은 소식이 들리네요       올원님도 타 채널처럼 후원받을수있는 회원제   를 개설하는게 어떨까 싶습니다      많은 분들이 후원해 주실거 같은데  저도 그렇고      여튼 채널이 꾸준히 운영되길 응원해봅니다 
108,회원제 열리면 무조건 가입합니다  이런 채널이 스러지는게 너무 안타까워요  
109,회원제 시작하시는 것 저도 추천드립니다  이런 고퀄영상은 무료로 볼 수 앖어요  
110,마블 분석 해주는 분들 중에 제일 알차고 내용만 읽는 분이 아니라서 꾸준히 보고 있습니다     코믹스와 연관해서 이야기를 풀어가는 것도 올원님 밖에 없습니다  항상 건강하세요          만약 영상 제작 안한신다며뉴    티스토리나 블로그에서 코믹스와 비교해서 해주실수있나요    너무 내용 좋습니다
111,유튜브로도 수입이 안되시는 거 같은데 블로그나 티스토리는 무리같은데요
112,오  진짜 모독이 나오네  
113,형 힘내요   
114,그간 항상영상은챙겨봤는데 좋아여 누르는건 넘기곤했는데 죄송해요  
115,앤트맨에서 캉의 변종이 어떻게 등장할지 기대되네요   올원님의 열정을 알기때문에 계속 저희랑 같이 마블 봐주실거라 믿습니다  다른 유튜버들과 비교 할 수 없는 올원님   아프지마새요  영상 천천히 올려주셔도 괜찮으니 지치지않으셨으면 좋겠어요   
116,뭐지슈퍼헤이세이세계관과거쫄보인간변종인가애초에애도보스없음그러니정복자캉변종자체가변종아님팔콘이어벤져스 주인공이라던디
117,내가보기엔빌런이라서변종이나와도어벤져스 나오지않을까요
118,두개체의 모독의 정체가 뭔지 생각해보면 로키 시즌   화에서 미스 미닛츠가 한말중에 두 버전의 로키가 하나의 시공간 또는     지구에 존재하게 만들수있다는 말을 했는데 캉의 변종들중 하나는 두가지 버전의 개체를 하나의 지구에 동시에 존재하게 만들수있는걸 성공했다는걸 암시    게다가 미스미닛츠와 모독의 주인이 캉인걸 생각해보면 미래의 대런 크로스가 빌머레이가 맡으시는 나이먹은 버전의 머독     
119,후 드디어 올라왔구나   
120,참 아쉽습니다           영상을 보는 그대로 읽어주는 영상에 질려서 찾은 곳이 올원 채널입니다           이렇게 심층 분석해 주는 곳이 거의 없는데 말이죠           저도 언젠가부터 영상 퀄리티에 비해 조회수가 낮아서 좋아요를 꼭 누르고 있습니다                                               올원님 대박 나길 응원합니다 
121,늘 잘 보고있습니다  재밌는 분석 감사드려요   
122,로키속 캉은 진짜로 착한 캉이고 앞으로 나올 캉들은 다 나쁜 마음을 가진 캉인가보네    인피니티워 타노스와 엔드게임의 타노스가 다른것 처럼
123,안대 올원님 절대못잃어     안대에에에에에
124,누가 분석해쥼        못잃어  흐흡
125,능글거리는 캉 기대
